index,axis-O,axis-1
0,47.179348569864516,83.5132749418366
1,11.791318109880171,223.28374406511418
2,44.393453919035316,360.8959517657192
3,27.265033621517773,525.1651296829971
4,68.12737081203862,689.6070414537195
5,31.43165244375485,832.0723816912335
6,24.20351060132082,1002.8778241223497
7,47.161957270847694,1156.7980076436313
8,17.05285301078096,1268.142519063897
9,15.66610312764159,1355.1863905325445
10,26.397531191929918,1461.0990177860367
11,59.126563896336016,1556.7864164432528
12,95.19167588730956,1040.1843561154142
13,104.24409734834725,263.9003814021068
14,82.02343608066371,1371.6590565009387
15,92.9542385596399,518.954155205468
16,103.36454849498328,880.9085356987058
17,116.26436781609195,22.50423472474289
18,137.3479618928627,1216.8513977822895
19,142.36025175073132,105.3796649233224
20,151.6361154446178,1530.4679407176286
21,142.25844141923037,469.9640904705756
22,173.46862446322206,1396.1480814517247
23,161.2082114867236,709.8949584746754
24,171.21754425149365,1007.8332123513318
25,201.99213243730537,373.1432552040649
26,205.89129843026947,223.96787950276743
27,208.32040090526996,17.17070805043647
28,190.7582590456214,514.8633980073414
29,228.29978730549647,1259.659968655547
30,248.21656050955414,86.48546974522293
31,221.4792643346556,649.0873602596466
32,232.50562913907285,890.8381346578367
33,269.6315596105566,1085.9437266548282
34,268.14437453487585,533.393275150531
35,249.3071729957806,1542.1114978902954
36,291.1661416836514,1408.7278735099746
37,278.76292846052786,295.6007404753374
38,290.009100604337,715.0226804123712
39,305.87549938258155,436.56642696302754
40,319.9569059271343,162.10141381185426
41,355.9364828758805,35.36992956035949
42,329.8661839635291,1167.925806739966
43,307.98537347344507,925.5460806589037
44,324.076988076237,1287.0138954088818
45,336.3255041246563,1494.5143217231898
46,362.3981400755594,1565.0117698343504
47,368.6660104986877,859.2518044619422
48,364.5503038885939,304.5719006313802
49,371.92257591046695,598.271442986882
50,404.5541308039112,747.8773932900052
51,393.67724826456595,1022.7891740113876
52,375.94029850746267,466.2174840085288
53,411.07537916628826,1266.4657161020798
54,424.5184419165805,1438.6969435826727
55,423.8657551274083,96.08718813815148
56,465.65359146315745,1123.3908642287738
57,435.9448254118389,490.5318042090329
58,435.5250137438153,217.2072567344695
59,445.9201507882111,330.2510281014393
60,454.14853720793246,638.6869232279599
61,437.45369030390736,1575.9167872648336
62,465.83404148962757,914.1436515871032
63,467.56002624097965,158.50470150885633
64,494.35445462114905,1286.1088259783514
65,506.59541984732823,1557.1447328244276
66,504.0676640598436,62.24424798821263
67,496.16333622936577,1443.9740805097017
68,516.5736325385694,731.9610593185381
69,515.5361794500724,258.1266280752533
70,513.8157304770208,505.1421721260431
71,561.2864006199147,821.4448663308794
72,565.5682912154032,989.2298435619736
73,558.5899232116395,1425.8652162198573
74,576.712379348319,411.4353177430848
75,578.0141898711631,1183.6091551386332
76,576.4394923085922,154.99105106158976
77,635.1538950042337,78.8465283657917
78,588.3324011790492,621.1521426951856
79,579.4947257383966,1570.959388185654
80,606.279012345679,1319.0550068587106
81,639.9246397117694,881.0492393915132
82,641.5958930399181,313.46379222108493
83,647.6418329489622,1539.1995387546376
84,654.4616859706988,743.718186699394
85,645.6988557900967,1413.536496350365
86,654.6992529348986,544.4672358591249
